IDs,Bosque maduro,Bosque secundario,Pastos,No forestal,Nubes,Sombra de nubes,totales,% Bosque maduro,% Bosque secundario,% No forestal,% Nubes,% Pastos,% Sombra de nubes
72,113,0,60,138,0,0,311,0.3633440514469453,0,0.4437299035369775,0,0.19292604501607716,0
73,234,0,0,81,0,0,315,0.7428571428571429,0,0.2571428571428571,0,0,0
74,0,0,0,316,0,0,316,0,0,1,0,0,0
75,0,0,0,316,0,0,316,0,0,1,0,0,0
76,0,0,0,317,0,0,317,0,0,1,0,0,0
77,0,0,25,289,0,0,314,0,0,0.9203821656050956,0,0.07961783439490445,0
78,38,0,58,222,0,0,318,0.11949685534591195,0,0.6981132075471698,0,0.18238993710691823,0
79,0,0,93,222,0,0,315,0,0,0.7047619047619048,0,0.29523809523809524,0
80,23,0,51,242,0,0,316,0.07278481012658228,0,0.7658227848101266,0,0.16139240506329114,0
81,113,0,69,133,0,0,315,0.35873015873015873,0,0.4222222222222222,0,0.21904761904761905,0
82,35,0,0,278,0,0,313,0.11182108626198083,0,0.8881789137380192,0,0,0
83,299,0,0,19,0,0,318,0.940251572327044,0,0.059748427672955975,0,0,0
84,315,0,0,0,0,0,315,1,0,0,0,0,0
85,278,0,0,38,0,0,316,0.879746835443038,0,0.12025316455696203,0,0,0
86,278,0,35,0,0,0,313,0.8881789137380192,0,0,0,0.11182108626198083,0
87,132,0,139,43,0,0,314,0.42038216560509556,0,0.13694267515923567,0,0.4426751592356688,0
88,0,0,0,316,0,0,316,0,0,1,0,0,0
89,0,0,0,316,0,0,316,0,0,1,0,0,0
90,0,0,0,312,0,0,312,0,0,1,0,0,0
91,0,0,75,241,0,0,316,0,0,0.7626582278481012,0,0.23734177215189872,0
92,0,0,0,315,0,0,315,0,0,1,0,0,0
93,123,0,195,0,0,0,318,0.3867924528301887,0,0,0,0.6132075471698113,0
94,209,0,104,0,0,0,313,0.6677316293929713,0,0,0,0.33226837060702874,0
95,131,0,181,0,0,0,312,0.4198717948717949,0,0,0,0.5801282051282052,0
96,0,0,0,106,0,212,318,0,0,0.3333333333333333,0,0,0.6666666666666666
97,0,0,0,71,0,240,311,0,0,0.2282958199356913,0,0,0.7717041800643086
98,0,35,214,64,0,0,313,0,0.11182108626198083,0.20447284345047922,0,0.6837060702875399,0
99,0,72,104,139,0,0,315,0,0.22857142857142856,0.44126984126984126,0,0.33015873015873015,0
100,0,0,4,312,0,0,316,0,0,0.9873417721518988,0,0.012658227848101266,0
101,199,0,109,0,0,0,308,0.6461038961038961,0,0,0,0.3538961038961039,0
102,142,77,99,0,0,0,318,0.44654088050314467,0.24213836477987422,0,0,0.3113207547169811,0
103,121,113,75,6,0,0,315,0.38412698412698415,0.35873015873015873,0.01904761904761905,0,0.23809523809523808,0
104,314,0,1,0,0,0,315,0.9968253968253968,0,0,0,0.0031746031746031746,0
105,258,32,21,0,0,0,311,0.8295819935691319,0.10289389067524116,0,0,0.06752411575562701,0
106,0,0,0,313,0,0,313,0,0,1,0,0,0
107,252,50,11,0,0,0,313,0.805111821086262,0.1597444089456869,0,0,0.03514376996805112,0
108,311,6,0,0,0,0,317,0.9810725552050473,0.01892744479495268,0,0,0,0
109,0,0,0,315,0,0,315,0,0,1,0,0,0
110,191,0,124,0,0,0,315,0.6063492063492063,0,0,0,0.39365079365079364,0
111,169,0,148,0,0,0,317,0.5331230283911672,0,0,0,0.4668769716088328,0
112,0,0,112,203,0,0,315,0,0,0.6444444444444445,0,0.35555555555555557,0
113,1,0,0,317,0,0,318,0.0031446540880503146,0,0.9968553459119497,0,0,0
114,103,0,127,86,0,0,316,0.3259493670886076,0,0.2721518987341772,0,0.40189873417721517,0
115,109,0,62,145,0,0,316,0.3449367088607595,0,0.4588607594936709,0,0.1962025316455696,0
116,0,1,1,307,0,0,309,0,0.003236245954692557,0.9935275080906149,0,0.003236245954692557,0
117,44,0,228,40,0,0,312,0.14102564102564102,0,0.1282051282051282,0,0.7307692307692307,0
118,33,27,253,0,0,0,313,0.10543130990415335,0.08626198083067092,0,0,0.8083067092651757,0
119,0,0,28,285,0,0,313,0,0,0.9105431309904153,0,0.08945686900958466,0
120,0,0,149,167,0,0,316,0,0,0.5284810126582279,0,0.47151898734177217,0
121,102,0,69,146,0,0,317,0.3217665615141956,0,0.4605678233438486,0,0.21766561514195584,0
122,0,0,110,206,0,0,316,0,0,0.6518987341772152,0,0.34810126582278483,0
123,93,0,24,192,0,0,309,0.30097087378640774,0,0.6213592233009708,0,0.07766990291262135,0
124,27,0,53,232,0,0,312,0.08653846153846154,0,0.7435897435897436,0,0.16987179487179488,0
125,0,0,50,263,0,0,313,0,0,0.8402555910543131,0,0.1597444089456869,0
126,149,0,106,58,0,0,313,0.476038338658147,0,0.1853035143769968,0,0.33865814696485624,0
127,0,0,0,312,0,0,312,0,0,1,0,0,0
128,0,0,0,315,0,0,315,0,0,1,0,0,0
129,0,0,51,261,0,0,312,0,0,0.8365384615384616,0,0.16346153846153846,0
130,0,0,0,313,0,0,313,0,0,1,0,0,0
131,0,0,0,316,0,0,316,0,0,1,0,0,0
132,0,0,0,316,0,0,316,0,0,1,0,0,0
133,161,0,155,0,0,0,316,0.509493670886076,0,0,0,0.49050632911392406,0
