Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S63096384,Black Vulture,Coragyps atratus,7334,1,CR-A,,L11133977,BPI-141-CR,10.1197841,-84.5146762,2019-12-27,08:46 AM,eBird - Stationary Count,10,1,,,1,,,bpi141
S66025648,Black Vulture,Coragyps atratus,7334,1,CR-A,,L11133999,BPI-144-CR,10.1154304,-84.5199031,2020-03-15,07:19 AM,eBird - Stationary Count,10,1,,,1,,1,bpi144
S64829605,Black Vulture,Coragyps atratus,7334,1,CR-A,,L11134020,BPI-146-CR,10.1225939,-84.4350198,2020-02-21,08:45 AM,eBird - Stationary Count,10,1,,,1,,,bpi146
S65016007,Black Vulture,Coragyps atratus,7334,1,CR-A,,L11134020,BPI-146-CR,10.1225939,-84.4350198,2020-02-21,08:55 AM,eBird - Stationary Count,10,1,,,1,,1,BPI-146
S64858825,Black Vulture,Coragyps atratus,7334,2,CR-A,,L11134020,BPI-146-CR,10.1225939,-84.4350198,2020-02-22,06:18 AM,eBird - Stationary Count,10,1,,,1,,,BPI-146
S65015985,Black Vulture,Coragyps atratus,7334,4,CR-A,,L11134031,BPI-147-CR,10.1215325,-84.434123,2020-02-21,09:13 AM,eBird - Stationary Count,10,1,,,1,,4,BPI-147
S72139980,Black Vulture,Coragyps atratus,7334,5,CR-A,,L11134031,BPI-147-CR,10.1215325,-84.434123,2020-08-04,08:33 AM,eBird - Stationary Count,10,1,,,1,,5,BPI-147-CR
S72105462,Black Vulture,Coragyps atratus,7334,1,CR-A,,L11134044,BPI-148-CR,10.1202619,-84.4340389,2020-08-04,08:37 AM,eBird - Stationary Count,10,1,,,1,,1,bpi148
S65015484,Black Vulture,Coragyps atratus,7334,1,CR-A,,L11134060,BPI-150-CR,10.1218467,-84.4359988,2020-02-21,09:54 AM,eBird - Stationary Count,10,1,,,1,,1,BPI-150
S72105470,Black Vulture,Coragyps atratus,7334,2,CR-A,,L11134060,BPI-150-CR,10.1218467,-84.4359988,2020-08-04,09:15 AM,eBird - Stationary Count,10,1,,,1,,2,bPi150
S72139909,Black Vulture,Coragyps atratus,7334,3,CR-A,,L11134060,BPI-150-CR,10.1218467,-84.4359988,2020-08-04,09:24 AM,eBird - Stationary Count,10,1,,,1,,3,BPI-150-CR
S64768423,Black Vulture,Coragyps atratus,7334,1,CR-A,,L11134091,BPI-154-CR,10.1088573,-84.4459467,2020-02-19,07:59 AM,eBird - Stationary Count,10,1,,,1,,1,BPI-154
S64754517,Black Vulture,Coragyps atratus,7334,5,CR-A,,L11134097,BPI-155-CR,10.1076841,-84.4447795,2020-02-19,08:05 AM,eBird - Stationary Count,10,1,,,1,,5,bpi155
S71606812,Black Vulture,Coragyps atratus,7334,1,CR-A,,L11134097,BPI-155-CR,10.1076841,-84.4447795,2020-07-16,07:57 AM,eBird - Stationary Count,10,1,,,1,,,BPI-155-CR
S63786416,Black Vulture,Coragyps atratus,7334,1,CR-A,,L11134112,BPI-157-CR,10.1044213,-84.4453707,2020-01-11,08:33 AM,eBird - Stationary Count,11,1,,,1,,,BPI-157
S64754541,Black Vulture,Coragyps atratus,7334,4,CR-A,,L11134112,BPI-157-CR,10.1044213,-84.4453707,2020-02-19,08:39 AM,eBird - Stationary Count,10,1,,,1,,4,bpi157
S64768378,Black Vulture,Coragyps atratus,7334,1,CR-A,,L11134112,BPI-157-CR,10.1044213,-84.4453707,2020-02-19,08:48 AM,eBird - Stationary Count,10,1,,,1,,1,BPI-157
S71572310,Black Vulture,Coragyps atratus,7334,3,CR-A,,L11134112,BPI-157-CR,10.1044213,-84.4453707,2020-07-16,08:21 AM,eBird - Stationary Count,10,1,,,1,,3,bpi157
S71606845,Black Vulture,Coragyps atratus,7334,3,CR-A,,L11134112,BPI-157-CR,10.1044213,-84.4453707,2020-07-16,08:31 AM,eBird - Stationary Count,10,1,,,1,,3,BPI-157-CR
S63786405,Black Vulture,Coragyps atratus,7334,3,CR-A,,L11134117,BPI-158-CR,10.1017864,-84.4447017,2020-01-11,09:06 AM,eBird - Stationary Count,10,1,,,1,,1,BPI-158
S63279121,Black Vulture,Coragyps atratus,7334,2,CR-A,,L11134117,BPI-158-CR,10.1017864,-84.4447017,2020-01-11,09:18 AM,eBird - Stationary Count,10,1,,,1,,,bpi 158
S64768336,Black Vulture,Coragyps atratus,7334,2,CR-A,,L11134117,BPI-158-CR,10.1017864,-84.4447017,2020-02-19,09:05 AM,eBird - Stationary Count,10,1,,,1,,2,BPI-158
S64859214,Black Vulture,Coragyps atratus,7334,4,CR-A,,L11134117,BPI-158-CR,10.1017864,-84.4447017,2020-02-20,05:59 AM,eBird - Stationary Count,10,1,,,1,,2,BPI-158
S64829401,Black Vulture,Coragyps atratus,7334,3,CR-A,,L11134117,BPI-158-CR,10.1017864,-84.4447017,2020-02-20,06:11 AM,eBird - Stationary Count,10,1,,,1,,3,bpi158
S61843262,Black Vulture,Coragyps atratus,7334,3,CR-A,,L11123464,BPICR-014,10.1127189,-84.5569626,2019-11-29,07:12 AM,eBird - Stationary Count,10,1,,,2,,,BPI-114
S60550230,Black Vulture,Coragyps atratus,7334,10,CR-A,,L10021214,Finca Alejandra Quesada,10.1383245,-84.522456,2019-10-12,06:05 AM,eBird - Traveling Count,132,1,4.19,,2
S59033866,Black Vulture,Coragyps atratus,7334,5,CR-A,,L9698019,Finca Asdrubal Gamboa - Nespresso,10.1139571,-84.5570664,2019-07-24,08:53 AM,eBird - Traveling Count,130,1,2.84,,3,,,Finca Asdrubal Gamboa - Nespresso
S59033862,Black Vulture,Coragyps atratus,7334,2,CR-A,,L9660695,Finca Carlos Araya - Nespresso,10.1179183,-84.5334068,2019-07-17,02:02 PM,eBird - Traveling Count,107,1,3.29,,3,,,Finca Carlos Araya - Nespresso
S59033872,Black Vulture,Coragyps atratus,7334,1,CR-A,,L9761027,Finca Carlos Vásquez Nespresso,10.1200659,-84.5440302,2019-08-07,09:23 AM,eBird - Traveling Count,70,1,2.71,,3,,,Finca Carlos Vásquez Nespresso
S59033855,Black Vulture,Coragyps atratus,7334,3,CR-A,,L9623968,Finca Celimo Salas Nespresso,10.0487029,-84.4885053,2019-07-11,08:32 AM,eBird - Traveling Count,74,1,1.38,,3,,,Finca Celimo Salas Nespresso
S59033861,Black Vulture,Coragyps atratus,7334,2,CR-A,,L9660703,Finca Diógenes Vázquez -  Nespresso,10.1101146,-84.5428931,2019-07-17,10:40 AM,eBird - Traveling Count,80,1,1.28,,3,,,Finca Diógenes Vázquez -  Nespresso
S59163123,Black Vulture,Coragyps atratus,7334,2,CR-A,,L9308655,Finca Edgar Fernández - Nespresso,10.1052611,-84.5501804,2019-05-08,02:37 PM,eBird - Traveling Count,98,1,1.66,,3,,,Finca Edgar Fernandez Nespresso
S59033858,Black Vulture,Coragyps atratus,7334,2,CR-A,,L9308655,Finca Edgar Fernández - Nespresso,10.1052611,-84.5501804,2019-07-16,03:23 PM,eBird - Traveling Count,175,1,2.59,,3
S59033871,Black Vulture,Coragyps atratus,7334,9,CR-A,,L9308655,Finca Edgar Fernández - Nespresso,10.1052611,-84.5501804,2019-07-31,06:26 AM,eBird - Traveling Count,89,1,.44,,5
S59341601,Black Vulture,Coragyps atratus,7334,2,CR-A,,L9308655,Finca Edgar Fernández - Nespresso,10.1052611,-84.5501804,2019-08-22,06:40 AM,eBird - Traveling Count,95,1,.73,,5
S61637097,Black Vulture,Coragyps atratus,7334,2,CR-A,,L9308655,Finca Edgar Fernández - Nespresso,10.1052611,-84.5501804,2019-11-21,02:15 PM,eBird - Traveling Count,69,1,.47,,1
S59341611,Black Vulture,Coragyps atratus,7334,1,CR-A,,L9849934,Finca Enrique Rodríguez Nespresso,10.0997008,-84.5507277,2019-08-28,10:42 AM,eBird - Traveling Count,122,1,1.48,,2
S59162854,Black Vulture,Coragyps atratus,7334,1,CR-A,,L9817886,Finca Gabriel Carvajal Nespresso,10.1119784,-84.5365377,2019-08-20,10:07 AM,eBird - Traveling Count,19,1,.33,,2
S59341607,Black Vulture,Coragyps atratus,7334,2,CR-A,,L9830641,Finca Heather Dawne Nespresso,10.1363072,-84.5188625,2019-08-23,08:46 AM,eBird - Traveling Count,66,1,1.08,,2
S59162853,Black Vulture,Coragyps atratus,7334,1,CR-A,,L9817877,Finca Hernán Piñeiro Nespresso,10.0800923,-84.494929,2019-08-20,08:50 AM,eBird - Traveling Count,27,1,.69,,2
S59033860,Black Vulture,Coragyps atratus,7334,1,CR-A,,L9660710,Finca Hugo Rodríguez - Nespresso,10.0879406,-84.5432283,2019-07-17,09:26 AM,eBird - Traveling Count,50,1,.24,,4,,,Finca Hugo Rodríguez - Nespresso
S59162855,Black Vulture,Coragyps atratus,7334,1,CR-A,,L9817890,Finca Jose Alfredo Picado Nespresso,10.1358468,-84.4298648,2019-08-20,12:29 PM,eBird - Traveling Count,21,1,.12,,2,,,GE
S59500540,Black Vulture,Coragyps atratus,7334,2,CR-A,,L9817890,Finca Jose Alfredo Picado Nespresso,10.1358468,-84.4298648,2019-09-03,11:18 AM,eBird - Traveling Count,49,1,.69,,2
S60307167,Black Vulture,Coragyps atratus,7334,1,CR-A,,L9985123,Finca Jose Emilio Araya - Nespresso,10.1266863,-84.470333,2019-10-02,09:17 AM,eBird - Traveling Count,127,1,2.28,,2,,,Finca Jose Emilio Araya Nespresso
S63096283,Black Vulture,Coragyps atratus,7334,2,CR-A,,L9985123,Finca Jose Emilio Araya - Nespresso,10.1266863,-84.470333,2020-01-04,02:37 PM,eBird - Traveling Count,143,1,7.3,,1
S63228637,Black Vulture,Coragyps atratus,7334,2,CR-A,,L9985123,Finca Jose Emilio Araya - Nespresso,10.1266863,-84.470333,2020-01-09,06:46 AM,eBird - Traveling Count,75,1,.66,,1,,,visita Nat Geo
S63278866,Black Vulture,Coragyps atratus,7334,2,CR-A,,L9985123,Finca Jose Emilio Araya - Nespresso,10.1266863,-84.470333,2020-01-10,06:30 AM,eBird - Traveling Count,17,1,.82,,1,,,natgeo
S59033874,Black Vulture,Coragyps atratus,7334,8,CR-A,,L9773648,Finca José Luis Vásquez Nespresso,10.1208543,-84.5444429,2019-08-08,08:40 AM,eBird - Traveling Count,27,1,.47,,3
S59033865,Black Vulture,Coragyps atratus,7334,4,CR-A,,L9698031,Finca Lisandro Alpizar - Nespresso,10.0723105,-84.4729607,2019-07-19,03:04 PM,eBird - Traveling Count,83,1,1.56,,3,,,Finca Lisandro Alpizar - Nespresso
S59033849,Black Vulture,Coragyps atratus,7334,1,CR-A,,L9622045,Finca Manuel Quirós Nespresso,10.0537051,-84.4848311,2019-07-10,09:46 AM,eBird - Traveling Count,61,1,.93,,3,,,Finca Manuel Quirós Nespresso
S65381339,Black Vulture,Coragyps atratus,7334,2,CR-A,,L10890099,Finca Patricia Fernández Nespresso,10.1063858,-84.5538655,2020-02-29,10:37 AM,eBird - Traveling Count,83,1,1.38,,1
S59341610,Black Vulture,Coragyps atratus,7334,2,CR-A,,L9849928,Finca Rafael Arias Nespresso,10.1191361,-84.5157045,2019-08-28,08:35 AM,eBird - Traveling Count,72,1,.77,,2,,,Finca Rafa 
S59361634,Black Vulture,Coragyps atratus,7334,2,CR-A,,L9853359,Finca Rodrigo Montero Nespresso,10.0795161,-84.503014,2019-08-29,09:21 AM,eBird - Traveling Count,53,1,.8,,3
S59033879,Black Vulture,Coragyps atratus,7334,1,CR-A,,L9790759,Finca Rodrigo Víquez Nespresso,10.1414007,-84.5258023,2019-08-13,08:40 AM,eBird - Traveling Count,44,1,.62,,3
S59033876,Black Vulture,Coragyps atratus,7334,16,CR-A,,L9773657,Finca Sergio Alpizar Nespresso,10.124346,-84.4821944,2019-08-08,09:42 AM,eBird - Traveling Count,39,1,.57,,2
S59341609,Black Vulture,Coragyps atratus,7334,8,CR-A,,L9830643,Finca Silverio Arias Nespresso,10.1557641,-84.5402907,2019-08-23,10:13 AM,eBird - Traveling Count,61,1,1.12,,3
S59033881,Black Vulture,Coragyps atratus,7334,6,CR-A,,L9790766,Finca William Elizondo Nespresso,10.1384886,-84.5121497,2019-08-13,10:00 AM,eBird - Traveling Count,51,1,1.41,,3
S60826265,Black Vulture,Coragyps atratus,7334,3,CR-A,,L8239688,Universidad de Costa Rica Sede Occidente San Ramón,10.0859186,-84.4800921,2019-10-21,11:07 AM,eBird - Traveling Count,14,1,.28,,1
S59511596,Turkey Vulture,Cathartes aura,7338,1,CR-A,,L11128679,BPI-001-CR,10.0789858,-84.5023686,2019-09-04,08:38 AM,eBird - Stationary Count,10,1,,,1,,1
S63785198,Turkey Vulture,Cathartes aura,7338,1,CR-A,,L11128679,BPI-001-CR,10.0789858,-84.5023686,2020-01-25,05:48 AM,eBird - Stationary Count,10,1,,,1,,,BPI-01
S59511578,Turkey Vulture,Cathartes aura,7338,4,CR-A,,L11128684,BPI-002-CR,10.079471,-84.5034763,2019-09-04,08:16 AM,eBird - Stationary Count,10,1,,,1,,3
S63785455,Turkey Vulture,Cathartes aura,7338,1,CR-A,,L11128684,BPI-002-CR,10.079471,-84.5034763,2020-01-25,06:13 AM,eBird - Stationary Count,11,1,,,1,,1,BPI-02
S72117581,Turkey Vulture,Cathartes aura,7338,1,CR-A,,L11128684,BPI-002-CR,10.079471,-84.5034763,2020-07-31,07:48 AM,eBird - Stationary Count,10,1,,,1,,1
S63785224,Turkey Vulture,Cathartes aura,7338,2,CR-A,,L11128703,BPI-003-CR,10.0791521,-84.5042077,2020-01-25,06:16 AM,eBird - Stationary Count,13,1,,,1,,,bpi03
S63785414,Turkey Vulture,Cathartes aura,7338,1,CR-A,,L11128703,BPI-003-CR,10.0791521,-84.5042077,2020-01-25,06:33 AM,eBird - Stationary Count,10,1,,,1,,1,BPI-03
S63840733,Turkey Vulture,Cathartes aura,7338,2,CR-A,,L11128710,BPI-004-CR,10.0792857,-84.5052216,2020-01-26,08:01 AM,eBird - Stationary Count,11,1,,,1,,,bpi4
S59557347,Turkey Vulture,Cathartes aura,7338,1,CR-A,,L11128761,BPI-005-CR,10.1245722,-84.4816052,2019-09-06,09:31 AM,eBird - Stationary Count,10,1,,,1,,1
S59561229,Turkey Vulture,Cathartes aura,7338,1,CR-A,,L11128771,BPI-006-CR,10.1255099,-84.4820598,2019-09-06,09:14 AM,eBird - Stationary Count,11,1,,,1,,,BPI-06
S64337533,Turkey Vulture,Cathartes aura,7338,2,CR-A,,L11128771,BPI-006-CR,10.1255099,-84.4820598,2020-02-09,05:54 AM,eBird - Stationary Count,10,1,,,1,,,bpi06
S64603954,Turkey Vulture,Cathartes aura,7338,1,CR-A,,L11128771,BPI-006-CR,10.1255099,-84.4820598,2020-02-09,06:05 AM,eBird - Stationary Count,11,1,,,1,,1,BPI-06
S59557327,Turkey Vulture,Cathartes aura,7338,2,CR-A,,L11128788,BPI-007-CR,10.125849,-84.4811302,2019-09-06,08:51 AM,eBird - Stationary Count,10,1,,,1,,1
S59557314,Turkey Vulture,Cathartes aura,7338,1,CR-A,,L11128808,BPI-008-CR,10.1261,-84.4796615,2019-09-06,08:31 AM,eBird - Stationary Count,10,1,,,1
S59537162,Turkey Vulture,Cathartes aura,7338,2,CR-A,,L11128852,BPI-012-CR,10.1483125,-84.5081602,2019-09-05,09:06 AM,eBird - Stationary Count,11,1,,,1,,,BPI12
S64667755,Turkey Vulture,Cathartes aura,7338,1,CR-A,,L11128920,BPI-013-CR,10.1136284,-84.5567831,2020-02-17,08:01 AM,eBird - Stationary Count,10,1,,,1,,,bpi13
S59698438,Turkey Vulture,Cathartes aura,7338,1,CR-A,,L11128927,BPI-014-CR,10.1127216,-84.5569653,2019-09-10,08:27 AM,eBird - Stationary Count,11,1,,,1,,1,BPI-14
S64719495,Turkey Vulture,Cathartes aura,7338,1,CR-A,,L11128939,BPI-015-CR,10.1117494,-84.5578124,2020-02-18,06:14 AM,eBird - Stationary Count,10,1,,,1,,1,BPI-15
S59880745,Turkey Vulture,Cathartes aura,7338,2,CR-A,,L11129452,BPI-022-CR,10.1185689,-84.4345301,2019-09-13,08:19 AM,eBird - Stationary Count,10,1,,,1,,,BPI-22
S64829631,Turkey Vulture,Cathartes aura,7338,1,CR-A,,L11129452,BPI-022-CR,10.1185689,-84.4345301,2020-02-21,07:42 AM,eBird - Stationary Count,10,1,,,1,,,bpi22
S59771202,Turkey Vulture,Cathartes aura,7338,1,CR-A,,L11129488,BPI-024-CR,10.1348632,-84.4293753,2019-09-13,07:25 AM,eBird - Stationary Count,11,1,,,1,,,BPI-24
S71606265,Turkey Vulture,Cathartes aura,7338,1,CR-A,,L11129488,BPI-024-CR,10.1348632,-84.4293753,2020-07-18,07:30 AM,eBird - Stationary Count,10,1,,,1,,,bpi24
S72140119,Turkey Vulture,Cathartes aura,7338,1,CR-A,,L11129488,BPI-024-CR,10.1348632,-84.4293753,2020-07-18,07:41 AM,eBird - Stationary Count,10,1,,,1,,,24
S72140128,Turkey Vulture,Cathartes aura,7338,1,CR-A,,L11129494,BPI-025-CR,10.1358659,-84.4298265,2020-07-18,07:54 AM,eBird - Stationary Count,10,1,,,1,,,25
S72140148,Turkey Vulture,Cathartes aura,7338,1,CR-A,,L11129502,BPI-026-CR,10.1357582,-84.4288372,2020-07-18,08:09 AM,eBird - Stationary Count,10,1,,,1,,1,26
S59915860,Turkey Vulture,Cathartes aura,7338,1,CR-A,,L11129511,BPI-027-CR,10.1053933,-84.5506657,2019-09-18,08:30 AM,eBird - Stationary Count,11,1,,,1,,1,bpi 27
S71725357,Turkey Vulture,Cathartes aura,7338,1,CR-A,,L11129511,BPI-027-CR,10.1053933,-84.5506657,2020-07-21,08:39 AM,eBird - Stationary Count,10,1,,,1,,1
S59915872,Turkey Vulture,Cathartes aura,7338,2,CR-A,,L11129533,BPI-028-CR,10.1058837,-84.5510685,2019-09-18,09:10 AM,eBird - Stationary Count,11,1,,,1,,,bpi 28
S59912350,Turkey Vulture,Cathartes aura,7338,1,CR-A,,L11129538,BPI-029-CR,10.1059736,-84.5518021,2019-09-18,08:40 AM,eBird - Stationary Count,10,1,,,1,,1
S65257659,Turkey Vulture,Cathartes aura,7338,1,CR-A,,L11129538,BPI-029-CR,10.1059736,-84.5518021,2020-02-28,08:05 AM,eBird - Stationary Count,10,1,,,1,,1,BPI-29
S59912369,Turkey Vulture,Cathartes aura,7338,1,CR-A,,L11129547,BPI-030-CR,10.1051612,-84.5498399,2019-09-18,09:32 AM,eBird - Stationary Count,10,1,,,1,,1
S65245389,Turkey Vulture,Cathartes aura,7338,1,CR-A,,L11129547,BPI-030-CR,10.1051612,-84.5498399,2020-02-28,07:12 AM,eBird - Stationary Count,10,1,,,1,,1,bpi30
S71725370,Turkey Vulture,Cathartes aura,7338,1,CR-A,,L11129547,BPI-030-CR,10.1051612,-84.5498399,2020-07-21,08:23 AM,eBird - Stationary Count,12,1,,,1
S71880088,Turkey Vulture,Cathartes aura,7338,1,CR-A,,L11129547,BPI-030-CR,10.1051612,-84.5498399,2020-07-23,06:13 AM,eBird - Stationary Count,10,1,,,1,,1
S59880873,Turkey Vulture,Cathartes aura,7338,2,CR-A,,L11129561,BPI-031-CR,10.1003038,-84.5511055,2019-09-17,08:02 AM,eBird - Stationary Count,11,1,,,1,,,BPI-31
S59912339,Turkey Vulture,Cathartes aura,7338,1,CR-A,,L11129561,BPI-031-CR,10.1003038,-84.5511055,2019-09-18,07:17 AM,eBird - Stationary Count,10,1,,,1,,1
S71754757,Turkey Vulture,Cathartes aura,7338,2,CR-A,,L11129561,BPI-031-CR,10.1003038,-84.5511055,2020-07-23,07:36 AM,eBird - Stationary Count,10,1,,,1,,2,bpi31
S71725375,Turkey Vulture,Cathartes aura,7338,1,CR-A,,L11129595,BPI-034-CR,10.0975689,-84.5513293,2020-07-21,07:50 AM,eBird - Stationary Count,10,1,,,1,,1
S59964505,Turkey Vulture,Cathartes aura,7338,1,CR-A,,L11129624,BPI-035-CR,10.0530529,-84.4855296,2019-09-20,09:25 AM,eBird - Stationary Count,10,1,,,1,,,bpi-35
S65059201,Turkey Vulture,Cathartes aura,7338,1,CR-A,,L11129624,BPI-035-CR,10.0530529,-84.4855296,2020-02-25,09:15 AM,eBird - Stationary Count,10,1,,,1,,1,bpi35
S59964503,Turkey Vulture,Cathartes aura,7338,2,CR-A,,L11129639,BPI-036-CR,10.0533148,-84.4847674,2019-09-20,09:08 AM,eBird - Stationary Count,10,1,,,1,,2,bpi-36
S73642001,Turkey Vulture,Cathartes aura,7338,2,CR-A,,L11129639,BPI-036-CR,10.0533148,-84.4847674,2020-08-07,08:41 AM,eBird - Stationary Count,10,1,,,1,,2
S71906056,Turkey Vulture,Cathartes aura,7338,1,CR-A,,L11129687,BPI-039-CR,10.0452216,-84.478374,2020-07-28,09:24 AM,eBird - Stationary Count,11,1,,,1,,1,bpi39
S59938794,Turkey Vulture,Cathartes aura,7338,2,CR-A,,L11129707,BPI-041-CR,10.0435427,-84.4811087,2019-09-19,08:58 AM,eBird - Stationary Count,10,1,,,2,,2,BPI-41
S64606441,Turkey Vulture,Cathartes aura,7338,1,CR-A,,L11129707,BPI-041-CR,10.0435427,-84.4811087,2020-02-15,08:52 AM,eBird - Stationary Count,10,1,,,1,,,BPI-41
S64532387,Turkey Vulture,Cathartes aura,7338,1,CR-A,,L11129707,BPI-041-CR,10.0435427,-84.4811087,2020-02-15,09:04 AM,eBird - Stationary Count,10,1,,,1,,,bpi41
S71906071,Turkey Vulture,Cathartes aura,7338,1,CR-A,,L11129707,BPI-041-CR,10.0435427,-84.4811087,2020-07-28,08:54 AM,eBird - Stationary Count,10,1,,,1,,1,bpi41
S60138265,Turkey Vulture,Cathartes aura,7338,2,CR-A,,L11129758,BPI-043-CR,10.1221828,-84.5058146,2019-09-26,08:36 AM,eBird - Stationary Count,10,1,,,1
S72139614,Turkey Vulture,Cathartes aura,7338,1,CR-A,,L11129758,BPI-043-CR,10.1221828,-84.5058146,2020-08-03,07:24 AM,eBird - Stationary Count,10,1,,,1,,1
S64337618,Turkey Vulture,Cathartes aura,7338,2,CR-A,,L11129796,BPI-046-CR,10.1286011,-84.5143227,2020-02-09,08:44 AM,eBird - Stationary Count,10,1,,,1,,,bpi46
S72067337,Turkey Vulture,Cathartes aura,7338,1,CR-A,,L11129796,BPI-046-CR,10.1286011,-84.5143227,2020-08-02,08:14 AM,eBird - Stationary Count,10,1,,,1,,1,bpi46
S72117679,Turkey Vulture,Cathartes aura,7338,1,CR-A,,L11129796,BPI-046-CR,10.1286011,-84.5143227,2020-08-02,08:23 AM,eBird - Stationary Count,10,1,,,1,,1
S72139635,Turkey Vulture,Cathartes aura,7338,1,CR-A,,L11129796,BPI-046-CR,10.1286011,-84.5143227,2020-08-03,06:12 AM,eBird - Stationary Count,10,1,,,1
S64416349,Turkey Vulture,Cathartes aura,7338,1,CR-A,,L11129821,BPI-048-CR,10.1288066,-84.5119934,2020-02-09,09:23 AM,eBird - Stationary Count,10,1,,,1,,,BPI-48
S72117690,Turkey Vulture,Cathartes aura,7338,1,CR-A,,L11129821,BPI-048-CR,10.1288066,-84.5119934,2020-08-02,08:51 AM,eBird - Stationary Count,10,1,,,1,,1
S60225536,Turkey Vulture,Cathartes aura,7338,1,CR-A,,L11129929,BPI-053-CR,10.117497,-84.5332645,2019-09-27,07:50 AM,eBird - Stationary Count,10,1,,,1,,1
S64431452,Turkey Vulture,Cathartes aura,7338,2,CR-A,,L11129929,BPI-053-CR,10.117497,-84.5332645,2020-02-13,08:00 AM,eBird - Stationary Count,10,1,,,1,,,bpi53
S60220598,Turkey Vulture,Cathartes aura,7338,1,CR-A,,L11129953,BPI-054-CR,10.1198899,-84.5336269,2019-09-27,08:03 AM,eBird - Stationary Count,10,1,,,1,,,BPI-54
S60225552,Turkey Vulture,Cathartes aura,7338,2,CR-A,,L11129962,BPI-055-CR,10.1199831,-84.532486,2019-09-27,08:36 AM,eBird - Stationary Count,10,1,,,1
S65224555,Turkey Vulture,Cathartes aura,7338,1,CR-A,,L11129988,BPI-057-CR,10.1393295,-84.5117277,2020-02-27,09:57 AM,eBird - Stationary Count,10,1,,,1,,,bpi57
S71780042,Turkey Vulture,Cathartes aura,7338,1,CR-A,,L11129988,BPI-057-CR,10.1393295,-84.5117277,2020-07-24,09:11 AM,eBird - Stationary Count,10,1,,,1,,1,bpi57
S71880169,Turkey Vulture,Cathartes aura,7338,1,CR-A,,L11129988,BPI-057-CR,10.1393295,-84.5117277,2020-07-26,06:16 AM,eBird - Stationary Count,10,1,,,1,,1,bpi57
S60471533,Turkey Vulture,Cathartes aura,7338,1,CR-A,,L11129998,BPI-058-CR,10.1405595,-84.511798,2019-10-08,06:31 AM,eBird - Stationary Count,12,1,,,1,,1
S71880159,Turkey Vulture,Cathartes aura,7338,1,CR-A,,L11129998,BPI-058-CR,10.1405595,-84.511798,2020-07-26,06:03 AM,eBird - Stationary Count,10,1,,,1,,1,bpi58
S60471534,Turkey Vulture,Cathartes aura,7338,1,CR-A,,L11130009,BPI-059-CR,10.140456,-84.5100674,2019-10-08,06:52 AM,eBird - Stationary Count,12,1,,,1,,1
S65224540,Turkey Vulture,Cathartes aura,7338,1,CR-A,,L11130009,BPI-059-CR,10.140456,-84.5100674,2020-02-27,09:29 AM,eBird - Stationary Count,10,1,,,1,,1,bpi59
S73643724,Turkey Vulture,Cathartes aura,7338,2,CR-A,,L11130009,BPI-059-CR,10.140456,-84.5100674,2020-07-24,09:48 AM,eBird - Stationary Count,10,1,,,1,,2,BPI-059-CR
S60471558,Turkey Vulture,Cathartes aura,7338,2,CR-A,,L11130017,BPI-060-CR,10.1378714,-84.5125708,2019-10-08,07:31 AM,eBird - Stationary Count,11,1,,,1,,,bpi60
S60471537,Turkey Vulture,Cathartes aura,7338,1,CR-A,,L11130017,BPI-060-CR,10.1378714,-84.5125708,2019-10-08,07:44 AM,eBird - Stationary Count,12,1,,,1,,1
S60517871,Turkey Vulture,Cathartes aura,7338,1,CR-A,,L11130017,BPI-060-CR,10.1378714,-84.5125708,2019-10-09,05:56 AM,eBird - Stationary Count,10,1,,,1,,,bpi60
S60517890,Turkey Vulture,Cathartes aura,7338,1,CR-A,,L11130017,BPI-060-CR,10.1378714,-84.5125708,2019-10-09,07:25 AM,eBird - Stationary Count,10,1,,,1,,,bpi60
S60471540,Turkey Vulture,Cathartes aura,7338,5,CR-A,,L11130030,BPI-061-CR,10.1380778,-84.515772,2019-10-08,08:48 AM,eBird - Stationary Count,10,1,,,1,,5
S65224522,Turkey Vulture,Cathartes aura,7338,1,CR-A,,L11130030,BPI-061-CR,10.1380778,-84.515772,2020-02-27,08:48 AM,eBird - Stationary Count,10,1,,,1,,1,bpi61
S73646737,Turkey Vulture,Cathartes aura,7338,1,CR-A,,L11130030,BPI-061-CR,10.1380778,-84.515772,2020-07-26,06:39 AM,eBird - Stationary Count,10,1,,,1,,1,BPI-061-CR
S60471571,Turkey Vulture,Cathartes aura,7338,3,CR-A,,L11130039,BPI-062-CR,10.1376265,-84.5172647,2019-10-08,08:56 AM,eBird - Stationary Count,10,1,,,1,,,bpi 62
S60471541,Turkey Vulture,Cathartes aura,7338,2,CR-A,,L11130039,BPI-062-CR,10.1376265,-84.5172647,2019-10-08,09:13 AM,eBird - Stationary Count,12,1,,,1
S71780015,Turkey Vulture,Cathartes aura,7338,1,CR-A,,L11130039,BPI-062-CR,10.1376265,-84.5172647,2020-07-24,08:23 AM,eBird - Stationary Count,10,1,,,1,,,bpi62
