ID,10N_090W_t_aboveground_biomass_ha_2000,Location,geometry
1,6532,BPI-014-CR,"c(-84.5569653, 10.1127216)"
2,7921,BPI-029-CR,"c(-84.5518021, 10.1059736)"
3,6730,BPI-047-CR,"c(-84.5130944, 10.1287986)"
4,7240,BPI-049-CR,"c(-84.5127065, 10.1281729)"
5,6297,BPI-065-CR,"c(-84.5532837, 10.1217769)"
6,8836,BPI-017-CR,"c(-84.5571165, 10.1112232)"
7,5593,BPI-034-CR,"c(-84.5513293, 10.0975689)"
8,9715,BPI-039-CR,"c(-84.478374, 10.0452216)"
9,9094,BPI-040-CR,"c(-84.480093, 10.0444591)"
10,8301,BPI-044-CR,"c(-84.5065818, 10.1213554)"
11,8311,BPI-045-CR,"c(-84.5069953, 10.1203859)"
12,5336,BPI-064-CR,"c(-84.5517758, 10.1217069)"
13,6215,BPI-105-CR,"c(-84.4977864, 10.0723331)"
14,9707,BPI-117-CR,"c(-84.5151519, 10.0531283)"
15,7362,BPI-139-CR,"c(-84.5108682, 10.1126633)"
16,7935,BPI-001-CR,"c(-84.5023686, 10.0789858)"
17,7775,BPI-003-CR,"c(-84.5042077, 10.0791521)"
18,6608,BPI-004-CR,"c(-84.5052216, 10.0792857)"
19,4423,BPI-005-CR,"c(-84.4816052, 10.1245722)"
20,6769,BPI-008-CR,"c(-84.4796615, 10.1261)"
21,2246,BPI-010-CR,"c(-84.5061124, 10.1481116)"
22,3494,BPI-011-CR,"c(-84.5072521, 10.1479216)"
23,2916,BPI-012-CR,"c(-84.5081602, 10.1483125)"
24,8342,BPI-016-CR,"c(-84.5575363, 10.1106973)"
25,7696,BPI-018-CR,"c(-84.5438036, 10.1200664)"
26,8507,BPI-022-CR,"c(-84.4345301, 10.1185689)"
27,6066,BPI-024-CR,"c(-84.4293753, 10.1348632)"
28,7190,BPI-025-CR,"c(-84.4298265, 10.1358659)"
29,6890,BPI-026-CR,"c(-84.4288372, 10.1357582)"
30,5950,BPI-027-CR,"c(-84.5506657, 10.1053933)"
31,7843,BPI-028-CR,"c(-84.5510685, 10.1058837)"
32,2130,BPI-030-CR,"c(-84.5498399, 10.1051612)"
33,7839,BPI-038-CR,"c(-84.4830427, 10.0547542)"
34,9135,BPI-042-CR,"c(-84.4810864, 10.0416568)"
35,5561,BPI-046-CR,"c(-84.5143227, 10.1286011)"
36,6947,BPI-048-CR,"c(-84.5119934, 10.1288066)"
37,4658,BPI-050-CR,"c(-84.5298859, 10.1220225)"
38,6174,BPI-051-CR,"c(-84.529712, 10.1207163)"
39,6161,BPI-052-CR,"c(-84.5305825, 10.1216996)"
40,2333,BPI-053-CR,"c(-84.5332645, 10.117497)"
41,6653,BPI-054-CR,"c(-84.5336269, 10.1198899)"
