ID,10N_090W_t_aboveground_biomass_ha_2000,Location,geometry
42,6729,BPI-055-CR,"c(-84.532486, 10.1199831)"
43,6135,BPI-056-CR,"c(-84.5323145, 10.1214581)"
44,3118,BPI-057-CR,"c(-84.5117277, 10.1393295)"
45,3797,BPI-058-CR,"c(-84.511798, 10.1405595)"
46,4714,BPI-059-CR,"c(-84.5100674, 10.140456)"
47,2667,BPI-060-CR,"c(-84.5125708, 10.1378714)"
48,5624,BPI-061-CR,"c(-84.515772, 10.1380778)"
49,3761,BPI-062-CR,"c(-84.5172647, 10.1376265)"
50,7518,BPI-067-CR,"c(-84.5570623, 10.116039)"
51,6780,BPI-068-CR,"c(-84.5579698, 10.1153751)"
52,7295,BPI-069-CR,"c(-84.5586206, 10.1160136)"
53,7364,BPI-071-CR,"c(-84.4748727, 10.072315)"
54,8018,BPI-072-CR,"c(-84.4764668, 10.0719252)"
55,8082,BPI-075-CR,"c(-84.4758064, 10.0701593)"
56,8254,BPI-077-CR,"c(-84.4690282, 10.0427887)"
57,6934,BPI-080-CR,"c(-84.4739848, 10.0403151)"
58,1512,BPI-088-CR,"c(-84.5430596, 10.109647)"
59,3984,BPI-094-CR,"c(-84.5401886, 10.155725)"
60,4031,BPI-095-CR,"c(-84.5406634, 10.1566234)"
61,6576,BPI-096-CR,"c(-84.4877984, 10.0482565)"
62,7709,BPI-097-CR,"c(-84.48578, 10.0469144)"
63,9050,BPI-098-CR,"c(-84.4846849, 10.0453934)"
64,6209,BPI-100-CR,"c(-84.489667, 10.0550119)"
65,5395,BPI-101-CR,"c(-84.4888351, 10.0613219)"
66,7135,BPI-102-CR,"c(-84.4949415, 10.0809554)"
67,7929,BPI-104-CR,"c(-84.496473, 10.0734981)"
68,5080,BPI-106-CR,"c(-84.499009, 10.0729765)"
69,3340,BPI-107-CR,"c(-84.5152869, 10.1190024)"
70,3817,BPI-108-CR,"c(-84.5149877, 10.1190981)"
71,3498,BPI-111-CR,"c(-84.5433677, 10.0880183)"
72,6974,BPI-112-CR,"c(-84.4842741, 10.0798823)"
73,8188,BPI-114-CR,"c(-84.4854094, 10.0787469)"
74,8299,BPI-122-CR,"c(-84.4219644, 10.1286983)"
75,8665,BPI-124-CR,"c(-84.44513, 10.116372)"
76,4943,BPI-126-CR,"c(-84.4410942, 10.1119037)"
77,6972,BPI-127-CR,"c(-84.4411276, 10.1103079)"
78,5935,BPI-128-CR,"c(-84.4398109, 10.1111145)"
79,5604,BPI-130-CR,"c(-84.5133912, 10.1209466)"
80,8618,BPI-133-CR,"c(-84.5120095, 10.1201563)"
81,4246,BPI-134-CR,"c(-84.5094513, 10.1154006)"
82,5790,BPI-135-CR,"c(-84.5079289, 10.1155529)"
83,9096,BPI-136-CR,"c(-84.509723, 10.1138154)"
84,8683,BPI-137-CR,"c(-84.5085341, 10.1135903)"
85,8304,BPI-138-CR,"c(-84.509147, 10.1129089)"
86,5817,BPI-143-CR,"c(-84.5147134, 10.1172633)"
87,6446,BPI-144-CR,"c(-84.5199031, 10.1154304)"
88,6571,BPI-146-CR,"c(-84.4350198, 10.1225939)"
89,6216,BPI-150-CR,"c(-84.4359988, 10.1218467)"
90,8717,BPI-151-CR,"c(-84.4372428, 10.1130617)"
91,8054,BPI-154-CR,"c(-84.4459467, 10.1088573)"
92,8561,BPI-158-CR,"c(-84.4447017, 10.1017864)"
93,4930,BPI-091-CR,"c(-84.5566407, 10.1420472)"
94,7990,BPI-092-CR,"c(-84.55728, 10.1428142)"
95,6310,BPI-093-CR,"c(-84.5504624, 10.1534041)"
96,9337,BPI-035-CR,"c(-84.4855296, 10.0530529)"
97,8170,BPI-036-CR,"c(-84.4847674, 10.0533148)"
98,1747,BPI-084-CR,"c(-84.5354017, 10.1111985)"
99,4512,BPI-085-CR,"c(-84.5363656, 10.1119322)"
100,7850,BPI-002-CR,"c(-84.5034763, 10.079471)"
101,7747,BPI-007-CR,"c(-84.4811302, 10.125849)"
102,5600,BPI-013-CR,"c(-84.5567831, 10.1136284)"
103,5625,BPI-015-CR,"c(-84.5578124, 10.1117494)"
104,7895,BPI-019-CR,"c(-84.5437481, 10.1207781)"
105,6929,BPI-020-CR,"c(-84.5445365, 10.1210005)"
106,8451,BPI-021-CR,"c(-84.4347098, 10.1174941)"
107,6688,BPI-031-CR,"c(-84.5511055, 10.1003038)"
108,6932,BPI-032-CR,"c(-84.5507279, 10.0999758)"
109,8794,BPI-037-CR,"c(-84.4839844, 10.0546771)"
110,5753,BPI-063-CR,"c(-84.5517909, 10.1208018)"
111,4086,BPI-066-CR,"c(-84.556157, 10.1155724)"
112,6620,BPI-070-CR,"c(-84.4735999, 10.0728615)"
113,5957,BPI-076-CR,"c(-84.4739909, 10.0710707)"
114,5773,BPI-082-CR,"c(-84.4741681, 10.0376128)"
115,6755,BPI-083-CR,"c(-84.4741361, 10.0362608)"
116,6806,BPI-086-CR,"c(-84.53775, 10.1117266)"
117,960,BPI-087-CR,"c(-84.5430199, 10.1079236)"
118,3556,BPI-090-CR,"c(-84.555205, 10.1417126)"
119,6721,BPI-099-CR,"c(-84.4884924, 10.0542554)"
120,4816,BPI-103-CR,"c(-84.4952533, 10.079394)"
121,6630,BPI-113-CR,"c(-84.4843316, 10.0790222)"
122,4722,BPI-125-CR,"c(-84.4423726, 10.1164539)"
123,7317,BPI-131-CR,"c(-84.5131493, 10.1228729)"
124,7139,BPI-132-CR,"c(-84.512499, 10.1183973)"
125,2512,BPI-140-CR,"c(-84.5154186, 10.120028)"
126,3749,BPI-142-CR,"c(-84.5153234, 10.1179435)"
127,8726,BPI-152-CR,"c(-84.4479011, 10.1164697)"
128,7995,BPI-153-CR,"c(-84.4459517, 10.1160079)"
129,8318,BPI-155-CR,"c(-84.4447795, 10.1076841)"
130,9993,BPI-156-CR,"c(-84.4454672, 10.1055376)"
131,9461,BPI-157-CR,"c(-84.4453707, 10.1044213)"
132,6750,BPI-073-CR,"c(-84.4777187, 10.0713692)"
133,2709,BPI-109-CR,"c(-84.5577596, 10.0916349)"
134,7132,BPI-009-CR,"c(-84.480879, 10.1267432)"
135,8887,BPI-074-CR,"c(-84.4769386, 10.0707056)"
136,7656,BPI-006-CR,"c(-84.4820598, 10.1255099)"
137,8675,BPI-023-CR,"c(-84.4342814, 10.1182092)"
138,7051,BPI-033-CR,"c(-84.5513884, 10.0988337)"
139,8288,BPI-041-CR,"c(-84.4811087, 10.0435427)"
140,8617,BPI-043-CR,"c(-84.5058146, 10.1221828)"
141,7658,BPI-081-CR,"c(-84.4740873, 10.0386452)"
142,1851,BPI-110-CR,"c(-84.5566071, 10.092577)"
143,9846,BPI-116-CR,"c(-84.5148675, 10.0518619)"
144,5099,BPI-118-CR,"c(-84.4295322, 10.1258536)"
145,7061,BPI-119-CR,"c(-84.4270497, 10.1267431)"
146,8050,BPI-120-CR,"c(-84.4258828, 10.1278151)"
147,6865,BPI-121-CR,"c(-84.4241338, 10.1287204)"
148,8437,BPI-123-CR,"c(-84.4469576, 10.1171909)"
149,3231,BPI-129-CR,"c(-84.5145052, 10.1188244)"
150,4772,BPI-141-CR,"c(-84.5146762, 10.1197841)"
151,4868,BPI-145-CR,"c(-84.4353451, 10.1239632)"
152,7720,BPI-147-CR,"c(-84.434123, 10.1215325)"
153,7361,BPI-149-CR,"c(-84.4353481, 10.1206841)"
154,8118,BPI-159-CR,"c(-84.442874, 10.1014486)"
155,6345,BPI-160-CR,"c(-84.4370201, 10.1151524)"
156,5457,BPI-089-CR,"c(-84.542484, 10.1109297)"
157,8527,BPI-078-CR,"c(-84.4681059, 10.0432786)"
158,9696,BPI-115-CR,"c(-84.5161909, 10.0518394)"
159,8580,BPI-079-CR,"c(-84.4682152, 10.0441381)"
160,8457,BPI-148-CR,"c(-84.4340389, 10.1202619)"
161,8482,BPI-137-CR,"c(-84.5085716, 10.113612)"
