	Sci_name	Region	AOS_57	type	C_name	PT-c	TB-r	PS-g	BD-g	CS	PS_BD	PT_TB	WatchList	Cont_concern	Major_hab	Red_list_16	NOT_IUCN
4105	Thamnophilus atrinucha	Costa Rica	1064	landbird	Black-crowned Antshrike	5	3	3	3	14	6	8	3	Watch List - Yel-d	Tropical deciduous forest	LC	NA
4111	Thamnophilus bridgesi	Costa Rica	1063	landbird	Black-hooded Antshrike	4	3	4	5	16	9	7	2	Watch List - Yel-r	Tropical lowland evergreen forest	LC	NA
4113	Thamnophilus doliatus	Costa Rica	1061	landbird	Barred Antshrike	2	2	1	1	6	2	4	3	NC	Second-growth scrub	LC	NA
4119	Thraupis abbas	Costa Rica	1858	landbird	Yellow-winged Tanager	1	2	3	3	9	6	3	2	NC	Tropical lowland evergreen forest	LC	NA
4125	Thraupis episcopus	Costa Rica	1857	landbird	Blue-gray Tanager	1	2	1	1	5	2	3	3	NC	Tropical lowland evergreen forest	LC	NA
4134	Thraupis palmarum	Costa Rica	1859	landbird	Palm Tanager	2	2	1	1	6	2	4	3	NC	Tropical lowland evergreen forest	LC	NA
4140	Threnetes ruckeri	Costa Rica	279	landbird	Band-tailed Barbthroat	4	3	3	3	13	6	7	NA	Watch List - Yel-d	Tropical lowland evergreen forest	LC	NA
4142	Thripadectes rufobrunneus	Costa Rica	1132	landbird	Streak-breasted Treehunter	3	3	5	5	16	10	6	2	Watch List - Yel-r	Montane evergreen forest	LC	NA
4146	Thryophilus pleurostictus	Costa Rica	1481	landbird	Banded Wren	4	3	4	4	15	8	7	2	Watch List - Yel-r	Tropical deciduous forest	LC	NA
4148	Thryophilus rufalbus	Costa Rica	1479	landbird	Rufous-and-white Wren	4	3	4	3	14	7	7	2	Watch List - Yel-d	Tropical deciduous forest	LC	NA
4154	Thryorchilus browni	Costa Rica	1458	landbird	Timberline Wren	3	4	5	5	17	10	7	1	Watch List - Red	Elfin forest	LC	NA
4160	Tiaris olivaceus	Costa Rica	1905	landbird	Yellow-faced Grassquit	1	2	2	3	8	5	3	2	NC	Second-growth scrub	LC	NA
4167	Tigrisoma fasciatum	Costa Rica	725	waterbird	Fasciated Tiger-Heron	3	3	5	2	13	7	6	NA	Watch List - Yel-r	Rivers	LC	NA
4173	Tigrisoma lineatum	Costa Rica	724	waterbird	Rufescent Tiger-Heron	3	3	4	1	11	5	6	NA	NC	Freshwater marshes	LC	NA
4178	Tigrisoma mexicanum	Costa Rica	726	waterbird	Bare-throated Tiger-Heron	3	3	4	3	13	7	6	NA	NC	Freshwater marshes	LC	NA
4186	Tinamus major	Costa Rica	2	landbird	Great Tinamou	4	3	2	1	10	3	7	NA	NC	Tropical lowland evergreen forest	NT	NA
4193	Tityra inquisitor	Costa Rica	1284	landbird	Black-crowned Tityra	4	3	3	1	11	4	7	3	NC	Tropical lowland evergreen forest	LC	NA
4198	Tityra semifasciata	Costa Rica	1283	landbird	Masked Tityra	3	3	2	1	9	3	6	3	NC	Tropical lowland evergreen forest	LC	NA
4210	Todirostrum cinereum	Costa Rica	1180	landbird	Common Tody-Flycatcher	2	2	2	1	7	3	4	3	NC	Tropical lowland evergreen forest	LC	NA
4213	Todirostrum nigriceps	Costa Rica	1181	landbird	Black-headed Tody-Flycatcher	5	3	3	3	14	6	8	3	Watch List - Yel-d	Tropical lowland evergreen forest	LC	NA
4215	Tolmomyias assimilis	Costa Rica	1186	landbird	Yellow-margined Flycatcher	3	3	2	1	9	3	6	3	NC	Tropical lowland evergreen forest	LC	NA
4224	Tolmomyias sulphurescens	Costa Rica	1185	landbird	Yellow-olive Flycatcher	4	3	2	1	10	3	7	3	NC	Tropical lowland evergreen forest	LC	NA
4226	Touit costaricensis	Costa Rica	1031	landbird	Red-fronted Parrotlet	5	3	5	5	18	10	8	1	Watch List - Red	Montane evergreen forest	VU	NA
4234	Tringa flavipes	Costa Rica	521	shorebird	Lesser Yellowlegs	4	NA	3	1	8	4	4	NA	NC	Saltwater/brackish marshes	LC	NA
4238	Tringa melanoleuca	Costa Rica	518	shorebird	Greater Yellowlegs	2	NA	4	1	7	5	2	NA	NC	coastal sand beaches/mudflats	LC	NA
4246	Tringa semipalmata	Costa Rica	520	shorebird	Willet	4	NA	4	2	10	6	4	NA	Watch List - Yel-d	Saltwater/brackish marshes	LC	NA
4253	Tringa solitaria	Costa Rica	514	shorebird	Solitary Sandpiper	2	NA	4	1	7	5	2	NA	NC	Freshwater marshes	LC	NA
4258	Troglodytes aedon	Costa Rica	1451	landbird	House Wren	2	1	1	1	5	2	3	3	NC	Second-growth scrub	LC	NA
4266	Troglodytes ochraceus	Costa Rica	1455	landbird	Ochraceous Wren	3	3	4	5	15	9	6	2	Watch List - Yel-r	Montane evergreen forest	LC	NA
4271	Trogon aurantiiventris	Costa Rica	879	landbird	Orange-bellied Trogon	4	2	5	5	16	10	6	2	Watch List - Red	Montane evergreen forest	LC	1
4274	Trogon bairdii	Costa Rica	873	landbird	Baird's Trogon	4	4	5	5	18	10	8	1	Watch List - Red	Tropical lowland evergreen forest	NT	NA
4281	Trogon caligatus	Costa Rica	874	landbird	Gartered Trogon	3	2	3	1	9	4	5	3	NC	Tropical lowland evergreen forest	LC	1
4285	Trogon clathratus	Costa Rica	867	landbird	Lattice-tailed Trogon	5	4	5	5	19	10	9	1	Watch List - Red	Tropical lowland evergreen forest	LC	NA
4287	Trogon collaris	Costa Rica	878	landbird	Collared Trogon	4	2	2	1	9	3	6	3	NC	Tropical lowland evergreen forest	LC	1
4293	Trogon elegans	Costa Rica	876	landbird	Elegant Trogon	4	3	4	3	14	7	7	2	Watch List - Yel-r	Tropical deciduous forest	LC	NA
4299	Trogon massena	Costa Rica	868	landbird	Slaty-tailed Trogon	4	3	4	3	14	7	7	2	Watch List - Yel-r	Tropical lowland evergreen forest	LC	NA
4304	Trogon melanocephalus	Costa Rica	870	landbird	Black-headed Trogon	4	2	3	3	12	6	6	2	NC	Tropical lowland evergreen forest	LC	NA
4316	Trogon rufus	Costa Rica	875	landbird	Black-throated Trogon	5	3	3	1	12	4	8	3	Watch List - Yel-d	Tropical lowland evergreen forest	LC	NA
4319	Tunchiornis ochraceiceps	Costa Rica	1324	landbird	Tawny-crowned Greenlet	4	3	3	1	11	4	7	3	NC	Tropical lowland evergreen forest	LC	NA
4330	Turdus assimilis	Costa Rica	1587	landbird	White-throated Thrush	4	3	3	3	13	6	7	3	NC	Montane evergreen forest	LC	NA
4331	Turdus grayi	Costa Rica	1584	landbird	Clay-colored Thrush	2	2	2	2	8	4	4	2	NC	Tropical lowland evergreen forest	LC	NA
4341	Turdus nigrescens	Costa Rica	1579	landbird	Sooty Thrush	3	3	5	5	16	10	6	2	Watch List - Red	Montane evergreen forest	LC	NA
4343	Turdus obsoletus	Costa Rica	1583	landbird	Pale-vented Thrush	4	3	3	4	14	7	7	2	Watch List - Yel-r	Montane evergreen forest	LC	NA
4345	Turdus plebejus	Costa Rica	1581	landbird	Mountain Thrush	4	2	4	4	14	8	6	2	Watch List - Yel-r	Montane evergreen forest	LC	NA
4355	Tyrannulus elatus	Costa Rica	1151	landbird	Yellow-crowned Tyrannulet	2	2	1	1	6	2	4	3	NC	River-edge forest	LC	NA
4366	Tyrannus forficatus	Costa Rica	1277	landbird	Scissor-tailed Flycatcher	4	NA	2	2	8	4	4	2	NC	Pastures/agricultural lands	LC	NA
4368	Tyrannus melancholicus	Costa Rica	1268	landbird	Tropical Kingbird	1	2	1	1	5	2	3	3	NC	Secondary forest	LC	NA
4378	Tyrannus savana	Costa Rica	1278	landbird	Fork-tailed Flycatcher	2	2	2	1	7	3	4	3	NC	"Low, seasonally wet grassland"	LC	NA
