IDs,Bosque maduro,Bosque secundario,No forestal,Nubes,Pastos,Sombra de nubes,totales,% Bosque maduro,% Bosque secundario,% No forestal,% Nubes,% Pastos,% Sombra de nubes
78,0,0,22,0,8,0,30,0,0,0.7333333333333333,0,0.26666666666666666,0
79,0,0,28,0,1,0,29,0,0,0.9655172413793104,0,0.034482758620689655,0
80,0,0,28,0,0,0,28,0,0,1,0,0,0
81,5,0,23,0,0,0,28,0.17857142857142858,0,0.8214285714285714,0,0,0
82,0,0,27,0,0,0,27,0,0,1,0,0,0
83,30,0,0,0,0,0,30,1,0,0,0,0,0
84,28,0,0,0,0,0,28,1,0,0,0,0,0
85,29,0,0,0,0,0,29,1,0,0,0,0,0
86,28,0,0,0,0,0,28,1,0,0,0,0,0
87,10,0,0,0,19,0,29,0.3448275862068966,0,0,0,0.6551724137931034,0
88,0,0,28,0,0,0,28,0,0,1,0,0,0
89,0,0,29,0,0,0,29,0,0,1,0,0,0
90,0,0,28,0,0,0,28,0,0,1,0,0,0
91,0,0,29,0,0,0,29,0,0,1,0,0,0
92,0,0,28,0,0,0,28,0,0,1,0,0,0
93,0,0,0,0,29,0,29,0,0,0,0,1,0
94,24,0,0,0,5,0,29,0.8275862068965517,0,0,0,0.1724137931034483,0
95,13,0,0,0,15,0,28,0.4642857142857143,0,0,0,0.5357142857142857,0
96,0,0,0,0,0,29,29,0,0,0,0,0,1
97,0,0,0,0,0,28,28,0,0,0,0,0,1
98,0,0,0,0,27,0,27,0,0,0,0,1,0
99,0,0,20,0,9,0,29,0,0,0.6896551724137931,0,0.3103448275862069,0
100,0,0,29,0,0,0,29,0,0,1,0,0,0
101,21,0,0,0,7,0,28,0.75,0,0,0,0.25,0
102,15,14,0,0,1,0,30,0.5,0.4666666666666667,0,0,0.03333333333333333,0
103,13,16,0,0,0,0,29,0.4482758620689655,0.5517241379310345,0,0,0,0
104,29,0,0,0,0,0,29,1,0,0,0,0,0
105,27,0,0,0,0,0,27,1,0,0,0,0,0
106,0,0,28,0,0,0,28,0,0,1,0,0,0
107,27,0,0,0,0,0,27,1,0,0,0,0,0
108,29,0,0,0,0,0,29,1,0,0,0,0,0
109,0,0,29,0,0,0,29,0,0,1,0,0,0
110,27,0,0,0,3,0,30,0.9,0,0,0,0.1,0
111,11,0,0,0,17,0,28,0.39285714285714285,0,0,0,0.6071428571428571,0
112,0,0,29,0,0,0,29,0,0,1,0,0,0
113,0,0,30,0,0,0,30,0,0,1,0,0,0
114,0,0,6,0,22,0,28,0,0,0.21428571428571427,0,0.7857142857142857,0
115,14,0,14,0,0,0,28,0.5,0,0.5,0,0,0
116,0,0,28,0,0,0,28,0,0,1,0,0,0
117,0,0,1,0,26,0,27,0,0,0.037037037037037035,0,0.9629629629629629,0
118,0,0,0,0,28,0,28,0,0,0,0,1,0
